"fbid","symbol"
"FBgn0267431","Myo81F"
"FBgn0267430","Pzl"
"FBgn0086917","spok"
"FBgn0010247","Parp"
"FBgn0086378","Alg-2"
"FBgn0263977","Tim17b"
"FBgn0069923","CG41128"
"FBgn0039955","CG41099"
"FBgn0027341","Gfat1"
"FBgn0058198","CG40198"
"FBgn0037213","CG12581"
"FBgn0037215","beta-Man"
"FBgn0037217","CG14636"
"FBgn0037218","aux"
"FBgn0051516","CG31516"
"FBgn0261436","DhpD"
"FBgn0037220","CG14641"
"FBgn0015331","abs"
"FBgn0010225","Gel"
"FBgn0037222","CG14642"
"FBgn0250821","CG14644"
"FBgn0041605","cpx"
"FBgn0037231","Vps24"
"FBgn0027930","MP1"
"FBgn0037232","Suv3"
"FBgn0261086","Syt14"
"FBgn0037234","CG9795"
"FBgn0027866","CG9776"
"FBgn0037236","Skp2"
"FBgn0040687","CG14645"
"FBgn0037235","CG1103"
"FBgn0261434","hkb"
"FBgn0037238","CG1090"
"FBgn0037239","Sfxn1-3"
"FBgn0037240","Cont"
"FBgn0003882","tub"
"FBgn0037241","CG14646"
"FBgn0086608","CG34112"
"FBgn0037242","CG9855"
"FBgn0086605","CG9853"
"FBgn0037244","CG14647"
"FBgn0263594","lost"
"FBgn0052944","CG32944"
"FBgn0037248","srl"
"FBgn0037249","eIF3a"
"FBgn0037250","CG1074"
"FBgn0037251","CG9804"
"FBgn0037252","CG14650"
"FBgn0051522","CG31522"
"FBgn0051523","CG31523"
"FBgn0037255","Fip1"
"FBgn0085386","CG34357"
"FBgn0037261","CG9775"
"FBgn0037262","MED31"
"FBgn0037263","slx1"
"FBgn0040466","Dlip2"
"FBgn0022981","rpk"
"FBgn0087013","Karybeta3"
"FBgn0037265","spartin"
"FBgn0263346","smash"
"FBgn0037270","eIF3f1"
"FBgn0027570","Nep2"
"FBgn0026620","tacc"
"FBgn0010750","atms"
"FBgn0264907","CG44098"
"FBgn0260794","ctrip"
"FBgn0026417","Hus1-like"
"FBgn0037279","CG1129"
"FBgn0037280","BBS5"
"FBgn0037282","CG14657"
"FBgn0004913","Gnf1"
"FBgn0265082","Cdep"
"FBgn0004436","Ubc6"
"FBgn0037288","CG14661"
"FBgn0037290","CG1124"
"FBgn0037291","CG14662"
"FBgn0037292","plh"
"FBgn0010313","corto"
"FBgn0037293","CG12007"
"FBgn0259212","cno"
"FBgn0037296","Prosbeta2R2"
"FBgn0037297","CG1116"
"FBgn0037298","Sccpdh1"
"FBgn0040682","CG14664"
"FBgn0037299","Vps37B"
"FBgn0040208","Kat60"
"FBgn0037301","Mms19"
"FBgn0087005","rtp"
"FBgn0260462","CG12163"
"FBgn0053293","CG33293"
"FBgn0037304","CG1113"
"FBgn0037305","CG12173"
"FBgn0264785","Hph"
"FBgn0037307","Tim17a2"
"FBgn0013576","mtd"
"FBgn0051538","CG31538"
"FBgn0037310","Tim17b1"
"FBgn0037312","CG11999"
"FBgn0037313","CG1161"
"FBgn0250746","Prosbeta7"
"FBgn0037315","Cerk"
"FBgn0003275","RpII18"
"FBgn0086695","hd"
"FBgn0037317","CG14667"
"FBgn0041707","7B2"
"FBgn0264712","CG1172"
"FBgn0037326","CG14669"
"FBgn0037327","PEK"
"FBgn0037328","RpL35A"
"FBgn0037329","POLDIP2"
"FBgn0037330","mRpL44"
"FBgn0011715","Snr1"
"FBgn0037332","Hcs"
"FBgn0015402","ksr"
"FBgn0051550","CG31550"
"FBgn0051547","NKCC"
"FBgn0010399","Nmdar1"
"FBgn0010051","Itp-r83A"
"FBgn0037336","CG2519"
"FBgn0014342","mia"
"FBgn0086768","Pcmt"
"FBgn0037338","Snm1"
"FBgn0037339","Pi4KIIalpha"
"FBgn0037340","CG14671"
"FBgn0037341","CG12746"
"FBgn0037342","CG2931"
"FBgn0041191","Rheb"
"FBgn0023023","CRMP"
"FBgn0037344","CG2926"
"FBgn0037345","Rev7"
"FBgn0014366","noi"
"FBgn0283535","Vha26"
"FBgn0250753","kra"
"FBgn0037347","CG1427"
"FBgn0261004","asl"
"FBgn0017550","Rga"
"FBgn0019637","Atu"
"FBgn0044823","Spec2"
"FBgn0037350","CG2911"
"FBgn0037351","RpL13A"
"FBgn0051551","CG31551"
"FBgn0051549","CG31549"
"FBgn0037354","CG12171"
"FBgn0051548","CG31548"
"FBgn0037356","CG12170"
"FBgn0027951","MTA1-like"
"FBgn0262125","Sec23"
"FBgn0037358","elm"
"FBgn0037359","MED27"
"FBgn0037360","CG2182"
"FBgn0046222","Wdr33"
"FBgn0010772","Xe7"
"FBgn0037363","Atg17"
"FBgn0261261","plx"
"FBgn0004878","cas"
"FBgn0037368","CG1239"
"FBgn0037369","CG2100"
"FBgn0037370","CG1236"
"FBgn0037371","Sym"
"FBgn0027497","Madm"
"FBgn0037372","CG2091"
"FBgn0266672","Sec8"
"FBgn0027608","CG2082"
"FBgn0037374","jagn"
"FBgn0037375","kat-60L1"
"FBgn0037376","Hat1"
